iter	Passed	Remaining
0	26	25024
1	49	23351
2	74	23533
3	99	23443
4	123	23309
5	148	23280
6	173	23401
7	198	23344
8	225	23558
9	249	23419
10	273	23336
11	296	23138
12	319	23039
13	345	23058
14	371	23122
15	399	23281
16	424	23279
17	451	23358
18	475	23262
19	503	23382
20	529	23403
21	555	23424
22	582	23447
23	607	23429
24	631	23357
25	654	23237
26	678	23177
27	703	23156
28	726	23035
29	748	22921
30	774	22939
31	812	23272
32	840	23322
33	876	23596
34	904	23609
35	929	23577
36	957	23602
37	983	23574
38	1007	23497
39	1034	23503
40	1059	23463
41	1086	23455
42	1121	23634
43	1151	23688
44	1174	23596
45	1199	23540
46	1224	23491
47	1250	23468
48	1274	23416
49	1299	23362
50	1325	23338
51	1350	23297
52	1375	23262
53	1397	23157
54	1422	23123
55	1448	23094
56	1475	23084
57	1499	23037
58	1523	22978
59	1547	22932
60	1573	22908
61	1597	22853
62	1622	22813
63	1647	22778
64	1669	22703
65	1692	22638
66	1707	22474
67	1731	22437
68	1757	22413
69	1783	22393
70	1807	22353
71	1833	22333
72	1857	22293
73	1882	22265
74	1909	22256
75	1934	22224
76	1961	22218
77	1986	22184
78	2011	22152
79	2037	22134
80	2061	22091
81	2087	22068
82	2110	22019
83	2136	22002
84	2163	21988
85	2188	21962
86	2213	21932
87	2235	21870
88	2261	21853
89	2287	21829
90	2313	21814
91	2340	21798
92	2362	21747
93	2384	21692
94	2408	21649
95	2430	21596
96	2454	21557
97	2479	21528
98	2502	21489
99	2529	21476
100	2555	21455
101	2582	21448
102	2609	21433
103	2637	21425
104	2662	21401
105	2687	21374
106	2713	21355
107	2740	21343
108	2762	21288
109	2787	21264
110	2820	21290
111	2845	21262
112	2869	21226
113	2894	21199
114	2918	21168
115	2942	21129
116	2966	21096
117	2991	21067
118	3015	21029
119	3038	20994
120	3063	20966
121	3085	20916
122	3111	20893
123	3134	20854
124	3159	20828
125	3183	20794
126	3207	20759
127	3232	20730
128	3258	20715
129	3283	20684
130	3308	20659
131	3332	20623
132	3357	20597
133	3380	20558
134	3403	20519
135	3429	20501
136	3452	20463
137	3476	20430
138	3502	20408
139	3526	20376
140	3551	20351
141	3577	20328
142	3602	20302
143	3625	20267
144	3649	20236
145	3671	20194
146	3697	20172
147	3721	20141
148	3743	20100
149	3766	20064
150	3792	20040
151	3817	20016
152	3842	19988
153	3866	19957
154	3889	19925
155	3915	19904
156	3939	19874
157	3961	19831
158	3983	19789
159	4005	19752
160	4028	19715
161	4051	19683
162	4075	19654
163	4098	19617
164	4122	19589
165	4147	19561
166	4169	19524
167	4193	19492
168	4218	19467
169	4242	19440
170	4266	19412
171	4290	19383
172	4312	19345
173	4335	19309
174	4360	19284
175	4384	19257
176	4406	19219
177	4431	19195
178	4455	19167
179	4481	19144
180	4505	19117
181	4529	19087
182	4551	19051
183	4572	19009
184	4593	18971
185	4618	18944
186	4639	18904
187	4665	18883
188	4690	18862
189	4713	18831
190	4737	18799
191	4760	18769
192	4782	18734
193	4806	18704
194	4830	18677
195	4850	18636
196	4874	18607
197	4895	18567
198	4918	18535
199	4941	18506
200	4964	18474
201	4985	18437
202	5007	18402
203	5030	18370
204	5052	18338
205	5076	18309
206	5099	18278
207	5124	18255
208	5149	18232
209	5171	18199
210	5196	18174
211	5221	18151
212	5245	18126
213	5268	18094
214	5292	18067
215	5318	18049
216	5344	18027
217	5368	18000
218	5393	17977
219	5432	18001
220	5454	17967
221	5477	17938
222	5499	17903
223	5520	17869
224	5555	17875
225	5580	17853
226	5604	17824
227	5632	17811
228	5656	17784
229	5677	17749
230	5699	17714
231	5723	17688
232	5748	17664
233	5771	17634
234	5794	17604
235	5815	17568
236	5838	17540
237	5860	17508
238	5884	17479
239	5904	17443
240	5926	17411
241	5951	17386
242	5974	17358
243	5994	17321
244	6022	17306
245	6046	17279
246	6068	17248
247	6091	17218
248	6113	17186
249	6133	17150
250	6156	17120
251	6180	17093
252	6203	17065
253	6226	17037
254	6253	17018
255	6276	16991
256	6298	16960
257	6321	16930
258	6346	16908
259	6367	16874
260	6390	16845
261	6412	16814
262	6433	16779
263	6457	16755
264	6481	16729
265	6500	16691
266	6523	16663
267	6546	16634
268	6570	16608
269	6594	16583
270	6615	16551
271	6638	16521
272	6659	16489
273	6683	16463
274	6705	16435
275	6731	16414
276	6753	16384
277	6778	16361
278	6799	16328
279	6821	16297
280	6844	16270
281	6865	16238
282	6888	16211
283	6912	16186
284	6934	16156
285	6959	16133
286	6980	16101
287	7006	16081
288	7029	16053
289	7054	16031
290	7078	16004
291	7099	15973
292	7121	15944
293	7147	15924
294	7169	15893
295	7191	15864
296	7214	15837
297	7237	15810
298	7259	15780
299	7280	15749
300	7301	15719
301	7327	15697
302	7348	15667
303	7370	15637
304	7392	15609
305	7414	15580
306	7436	15550
307	7457	15519
308	7480	15493
309	7504	15468
310	7526	15440
311	7552	15419
312	7576	15395
313	7600	15370
314	7622	15341
315	7644	15312
316	7665	15282
317	7690	15259
318	7711	15229
319	7733	15201
320	7757	15175
321	7783	15155
322	7805	15128
323	7845	15133
324	7869	15110
325	7896	15090
326	7923	15070
327	7948	15048
328	7973	15026
329	7997	15001
330	8021	14977
331	8046	14953
332	8070	14929
333	8095	14905
334	8120	14883
335	8140	14852
336	8162	14822
337	8186	14799
338	8212	14777
339	8234	14749
340	8257	14723
341	8279	14694
342	8304	14671
343	8324	14640
344	8345	14610
345	8367	14583
346	8391	14558
347	8410	14525
348	8432	14496
349	8456	14472
350	8478	14444
351	8498	14413
352	8523	14390
353	8544	14361
354	8568	14336
355	8593	14313
356	8614	14285
357	8635	14256
358	8659	14230
359	8682	14205
360	8704	14178
361	8727	14151
362	8749	14125
363	8769	14093
364	8789	14062
365	8811	14035
366	8831	14005
367	8850	13973
368	8874	13949
369	8895	13919
370	8919	13896
371	8942	13870
372	8968	13849
373	8993	13826
374	9017	13802
375	9040	13776
376	9061	13748
377	9083	13721
378	9109	13700
379	9131	13672
380	9153	13646
381	9176	13620
382	9199	13594
383	9221	13568
384	9244	13541
385	9270	13521
386	9294	13497
387	9319	13475
388	9340	13446
389	9361	13418
390	9385	13393
391	9408	13369
392	9430	13342
393	9452	13315
394	9473	13287
395	9495	13260
396	9519	13236
397	9540	13208
398	9565	13185
399	9592	13165
400	9615	13139
401	9636	13112
402	9659	13087
403	9682	13061
404	9707	13038
405	9729	13013
406	9750	12985
407	9770	12955
408	9793	12930
409	9831	12925
410	9854	12899
411	9876	12872
412	9898	12847
413	9919	12818
414	9940	12791
415	9965	12768
416	9986	12740
417	10010	12716
418	10031	12688
419	10053	12662
420	10074	12634
421	10098	12611
422	10119	12583
423	10139	12555
424	10163	12530
425	10185	12505
426	10210	12482
427	10234	12458
428	10257	12433
429	10281	12409
430	10307	12388
431	10329	12361
432	10352	12336
433	10372	12308
434	10395	12283
435	10415	12254
436	10438	12229
437	10457	12200
438	10479	12174
439	10499	12145
440	10523	12122
441	10543	12093
442	10563	12066
443	10585	12039
444	10608	12014
445	10629	11988
446	10652	11963
447	10675	11938
448	10695	11910
449	10716	11883
450	10741	11860
451	10764	11835
452	10786	11810
453	10809	11785
454	10833	11761
455	10856	11737
456	10875	11708
457	10899	11685
458	10919	11657
459	10940	11630
460	10960	11602
461	10981	11576
462	11003	11549
463	11026	11525
464	11046	11498
465	11067	11471
466	11089	11445
467	11109	11418
468	11130	11392
469	11152	11365
470	11172	11338
471	11192	11311
472	11212	11283
473	11233	11257
474	11253	11229
475	11274	11202
476	11298	11179
477	11320	11154
478	11343	11130
479	11363	11103
480	11385	11077
481	11409	11054
482	11430	11028
483	11450	11001
484	11475	10978
485	11498	10954
486	11520	10928
487	11543	10904
488	11564	10879
489	11587	10854
490	11608	10828
491	11632	10805
492	11655	10780
493	11677	10755
494	11698	10729
495	11717	10701
496	11738	10675
497	11758	10648
498	11782	10625
499	11802	10599
500	11826	10575
501	11850	10551
502	11875	10529
503	11897	10504
504	11919	10479
505	11939	10452
506	11961	10427
507	11982	10402
508	12004	10376
509	12026	10351
510	12047	10326
511	12070	10302
512	12092	10277
513	12114	10252
514	12136	10227
515	12156	10201
516	12177	10175
517	12199	10150
518	12220	10125
519	12243	10100
520	12265	10075
521	12284	10048
522	12305	10022
523	12325	9996
524	12345	9970
525	12368	9946
526	12389	9921
527	12410	9895
528	12433	9871
529	12454	9846
530	12476	9821
531	12498	9796
532	12518	9770
533	12541	9746
534	12565	9723
535	12589	9700
536	12608	9673
537	12628	9647
538	12648	9621
539	12672	9598
540	12694	9573
541	12716	9549
542	12742	9527
543	12769	9506
544	12794	9484
545	12819	9461
546	12842	9438
547	12865	9414
548	12886	9389
549	12908	9364
550	12934	9342
551	12955	9317
552	12979	9294
553	12999	9268
554	13019	9242
555	13041	9218
556	13062	9193
557	13084	9168
558	13106	9144
559	13128	9119
560	13147	9093
561	13171	9070
562	13193	9045
563	13212	9019
564	13232	8993
565	13252	8967
566	13273	8942
567	13292	8916
568	13314	8891
569	13337	8868
570	13360	8844
571	13383	8821
572	13407	8797
573	13429	8773
574	13452	8750
575	13475	8726
576	13499	8703
577	13521	8679
578	13541	8653
579	13564	8629
580	13586	8605
581	13610	8582
582	13632	8558
583	13654	8534
584	13677	8510
585	13697	8484
586	13719	8460
587	13742	8437
588	13766	8414
589	13790	8391
590	13813	8367
591	13832	8341
592	13855	8317
593	13875	8292
594	13898	8268
595	13919	8244
596	13938	8218
597	13963	8195
598	13986	8172
599	14009	8148
600	14033	8125
601	14055	8102
602	14080	8079
603	14101	8054
604	14124	8030
605	14144	8005
606	14164	7980
607	14187	7957
608	14210	7933
609	14230	7908
610	14250	7883
611	14273	7859
612	14295	7835
613	14317	7811
614	14335	7785
615	14356	7760
616	14376	7735
617	14396	7710
618	14417	7686
619	14436	7660
620	14459	7637
621	14483	7614
622	14505	7590
623	14527	7566
624	14551	7543
625	14572	7518
626	14592	7493
627	14611	7468
628	14633	7444
629	14655	7420
630	14677	7396
631	14695	7371
632	14717	7346
633	14740	7323
634	14764	7300
635	14787	7277
636	14807	7252
637	14830	7229
638	14853	7205
639	14875	7182
640	14896	7157
641	14919	7134
642	14941	7110
643	14965	7087
644	14986	7063
645	15009	7040
646	15031	7016
647	15051	6991
648	15074	6968
649	15096	6944
650	15119	6921
651	15142	6897
652	15164	6873
653	15186	6850
654	15205	6825
655	15229	6802
656	15251	6778
657	15272	6754
658	15292	6729
659	15312	6704
660	15332	6680
661	15355	6656
662	15377	6633
663	15399	6609
664	15419	6584
665	15440	6561
666	15461	6537
667	15482	6513
668	15504	6489
669	15524	6464
670	15545	6440
671	15566	6416
672	15587	6392
673	15609	6368
674	15630	6344
675	15651	6320
676	15673	6297
677	15694	6273
678	15715	6249
679	15737	6225
680	15759	6201
681	15783	6179
682	15804	6155
683	15835	6135
684	15856	6111
685	15879	6088
686	15901	6064
687	15923	6040
688	15947	6018
689	15971	5995
690	15993	5971
691	16015	5948
692	16038	5924
693	16060	5901
694	16081	5877
695	16102	5853
696	16122	5828
697	16144	5805
698	16167	5782
699	16187	5758
700	16208	5734
701	16232	5711
702	16253	5687
703	16274	5663
704	16293	5639
705	16314	5615
706	16335	5591
707	16357	5568
708	16378	5544
709	16402	5521
710	16424	5498
711	16445	5474
712	16467	5450
713	16488	5426
714	16509	5402
715	16528	5378
716	16552	5355
717	16574	5332
718	16599	5309
719	16620	5286
720	16643	5263
721	16664	5239
722	16686	5216
723	16709	5192
724	16729	5168
725	16750	5145
